"country_area","year","value"
"Croatia","2014","17607.3224145688"
"Croatia","2013","18359.4998410627"
"Croatia","2012","18776.3813482483"
"Croatia","2011","20614.4404738916"
"Croatia","2010","21183.709310531"
"Croatia","2009","21965.6352675347"
"Croatia","2008","23715.3843178607"
"Croatia","2007","24955.3759314165"
"Croatia","2006","23684.9350307817"
"Croatia","2005","23451.8458466746"
"Croatia","2004","23005.2348535353"
"Croatia","2003","23355.2211046544"
"Croatia","2002","22031.1266650621"
"Croatia","2001","20943.1099586839"
"Croatia","2000","19789.1217501208"
"Croatia","1999","20215.653226001"
"Croatia","1998","19372.3876004329"
"Croatia","1997","18666.4669752133"
"Croatia","1996","17587.8984604534"
"Croatia","1995","16992.8004192757"
"Croatia","1994","16342.1818762402"
"Croatia","1993","17081.2280227503"
"Croatia","1992","16607.1344792414"
"Croatia","1991","17268.9103457996"
"Croatia","1990","23390.075209187"
"Cyprus","2014","6878.555308563"
"Cyprus","2013","6449.610812027"
"Cyprus","2012","7160.971875548"
"Cyprus","2011","7696.667805268"
"Cyprus","2010","8004.912020822"
"Cyprus","2009","8372.396591774"
"Cyprus","2008","8620.395581741"
"Cyprus","2007","8458.664261444"
"Cyprus","2006","8152.492308125"
"Cyprus","2005","7961.983988964"
"Cyprus","2004","7776.909404745"
"Cyprus","2003","7550.081927808"
"Cyprus","2002","7160.388457603"
"Cyprus","2001","6969.466175788"
"Cyprus","2000","7095.964384675"
"Cyprus","1999","6847.659115972"
"Cyprus","1998","6580.296149717"
"Cyprus","1997","6287.031657389"
"Cyprus","1996","6156.132133961"
"Cyprus","1995","5848.043785196"
"Cyprus","1994","5977.257104602"
"Cyprus","1993","5733.674102128"
"Cyprus","1992","5482.974869661"
"Cyprus","1991","5107.082886881"
"Cyprus","1990","4621.007176785"
"Czech Republic","2014","101159.12216724"
"Czech Republic","2013","106477.08866661"
"Czech Republic","2012","109841.328902436"
"Czech Republic","2011","114113.146744787"
"Czech Republic","2010","115757.36858641"
"Czech Republic","2009","113970.029219436"
"Czech Republic","2008","121780.716313732"
"Czech Republic","2007","126933.162985254"
"Czech Republic","2006","125923.402444959"
"Czech Republic","2005","124590.137925265"
"Czech Republic","2004","126876.916162316"
"Czech Republic","2003","126151.648802001"
"Czech Republic","2002","122593.400101873"
"Czech Republic","2001","125541.536474736"
"Czech Republic","2000","125841.969268613"
"Czech Republic","1999","115475.259995958"
"Czech Republic","1998","123696.517294897"
"Czech Republic","1997","128732.638710869"
"Czech Republic","1996","132234.071786388"
"Czech Republic","1995","129767.166426691"
"Czech Republic","1994","129188.734109272"
"Czech Republic","1993","135588.565572531"
"Czech Republic","1992","141565.719740237"
"Czech Republic","1991","146047.33959314"
"Czech Republic","1990","161662.018871736"
"Denmark","2014","37460.6564588265"
"Denmark","2013","41537.0358081307"
"Denmark","2012","39524.4020330104"
"Denmark","2011","43970.7892561051"
"Denmark","2010","48993.4173755474"
"Denmark","2009","48592.2113851369"
"Denmark","2008","50935.6715289027"
"Denmark","2007","54429.0851744511"
"Denmark","2006","59162.4996316885"
"Denmark","2005","51307.2445174626"
"Denmark","2004","54916.9105639724"
"Denmark","2003","60493.9617162995"
"Denmark","2002","55339.6716999691"
"Denmark","2001","55845.147180549"
"Denmark","2000","54148.9049729906"
"Denmark","1999","58456.4158198368"
"Denmark","1998","61117.3416291516"
"Denmark","1997","65457.8348433241"
"Denmark","1996","75110.840989738"
"Denmark","1995","61914.1610128897"
"Denmark","1994","64988.7809040025"
"Denmark","1993","61038.6712439614"
"Denmark","1992","58960.3115236108"
"Denmark","1991","64874.8138594637"
"Denmark","1990","54306.4333356516"
"Estonia","2014","18918.7153387101"
"Estonia","2013","19566.3683734371"
"Estonia","2012","17304.6372276438"
"Estonia","2011","18449.9308643309"
"Estonia","2010","17833.779609149"
"Estonia","2009","14153.005161794"
"Estonia","2008","17264.5200333765"
"Estonia","2007","18755.6479305233"
"Estonia","2006","15719.5289253761"
"Estonia","2005","16330.7338304477"
"Estonia","2004","17055.0742451822"
"Estonia","2003","16833.2142927367"
"Estonia","2002","15020.2841500601"
"Estonia","2001","15493.8609887605"
